hhid,persid,dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,journey_label,travdow,agegroup,sex,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,persinc_category,hhsize,dwelltype,owndwell,aveagegroup_5,hhinc_group,hhinc_category,homelga
Y24H5800224,Y24H5800224P03,Weekday,train,54,20.36022,62.0,721.156439682,melb - middle,greater melbourne,8.0,1,Wednesday,35->39,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,6,1750,Yes,0,0,0,0,1,0,0,No,high,3,"Unit, Flat or Apartment",Fully Owned,65->69,2000,medium,C
Y24H5800231,Y24H5800231P02,Weekday,vehicle driver,45,17.54193,45.0,4709.085525757,melb - middle,greater melbourne,0.0,1,Wednesday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,3000,No,0,0,0,0,0,0,0,No,high,5,Separate House,Being Purchased,25->29,4500,high,C
Y24H5800239,Y24H5800239P01,Weekday,train,45,19.08892,49.0,837.433689352,melb - middle,greater melbourne,4.0,1,Thursday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,11,500,Yes,0,0,0,0,1,0,0,Yes,low,4,Terrace or Townhouse,Being Rented,25->29,500,low,C
Y24H5800322,Y24H5800322P01,Weekday,walking,24,0.45846,24.0,4644.239030501,melb - inner,greater melbourne,0.0,1,Monday,25->29,Male,Full Licence,1,0,No,1,0,0,1,Part-time TAFE/Uni,Volunteer,Full-time Work,Paid Employee,At Home,3,2000,Yes,0,1,1,1,1,0,0,No,high,1,"Unit, Flat or Apartment",Being Rented,25->29,2500,medium,C
Y24H5800410,Y24H5800410P02,Weekday,vehicle driver,22,7.39462,35.0,1539.712499874,melb - middle,greater melbourne,13.0,1,Wednesday,60->64,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,5,1500,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Rented,60->64,4500,high,C
Y24H5800439,Y24H5800439P01,Weekday,vehicle driver,47,18.63746,47.0,1879.889566679,melb - middle,greater melbourne,0.0,1,Thursday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,3000,Yes,1,0,1,0,1,0,0,No,high,5,Separate House,Being Purchased,25->29,6000,high,C
Y24H5800439,Y24H5800439P02,Weekday,vehicle driver,8,3.35789,8.0,1460.418803201,melb - middle,greater melbourne,0.0,1,Thursday,40->44,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,2000,No,0,0,0,0,0,0,0,No,high,5,Separate House,Being Purchased,25->29,6000,high,C
Y24H5800529,Y24H5800529P01,Weekday,vehicle driver,30,10.69392,30.0,2409.286279319,melb - outer,greater melbourne,0.0,1,Monday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,3000,No,0,0,0,0,0,0,0,No,high,2,Separate House,Being Purchased,45->49,6000,high,C
Y24H5800529,Y24H5800529P02,Weekday,vehicle driver,68,58.05323,68.0,1849.415724709,melb - outer,greater melbourne,0.0,1,Monday,40->44,Female,Full Licence,0,0,No,1,0,0,1,Part-time TAFE/Uni,No other activity,Full-time Work,Paid Employee,At Home,2,2000,Yes,0,1,0,0,0,0,0,No,high,2,Separate House,Being Purchased,45->49,6000,high,C
Y24H5800534,Y24H5800534P01,Weekend,vehicle driver,13,9.00704,15.0,1287.82096626,melb - outer,greater melbourne,2.0,1,Saturday,40->44,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Self-Employed,At Home,9,1000,Yes,0,1,1,0,0,0,0,Yes,medium,4,Separate House,Being Purchased,20->24,4500,high,C
Y24H5810101,Y24H5810101P01,Weekday,vehicle driver,55,19.73045,55.0,876.967888617,melb - outer,greater melbourne,0.0,1,Monday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,Keeping House,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Purchased,30->34,4000,high,C
Y24H5810101,Y24H5810101P02,Weekday,vehicle driver,15,8.16556,15.0,1245.726612342,melb - outer,greater melbourne,0.0,1,Monday,50->54,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1500,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Purchased,30->34,4000,high,C
Y24H5810101,Y24H5810101P04,Weekday,vehicle driver,30,25.45395,30.0,1349.768954359,melb - outer,greater melbourne,0.0,1,Monday,20->24,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,400,No,0,0,0,0,0,0,0,No,low,5,Separate House,Being Purchased,30->34,4000,high,C
Y24H5810102,Y24H5810102P01,Weekday,vehicle driver,25,18.55291,25.0,928.883808183,melb - outer,greater melbourne,0.0,1,Tuesday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,1750,No,0,0,0,0,0,0,0,No,high,5,Separate House,Fully Owned,30->34,2000,medium,C
Y24H5810102,Y24H5810102P02,Weekday,vehicle driver,28,16.46843,28.0,965.153348458,melb - outer,greater melbourne,0.0,1,Tuesday,50->54,Female,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,7,400,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,30->34,2000,medium,C
Y24H5810105,Y24H5810105P02,Weekday,vehicle driver,24,18.19059,24.0,1734.813800472,melb - outer,greater melbourne,0.0,1,Friday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,3000,Missing/Refused,0,0,0,0,0,0,0,No,high,5,Separate House,Being Purchased,40->44,8000,high,C
Y24H5810108,Y24H5810108P01,Weekday,vehicle driver,26,18.2823,26.0,932.539135225,melb - outer,greater melbourne,0.0,1,Monday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,650,No,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Rented,50->54,1750,medium,C
Y24H5810115,Y24H5810115P02,Weekday,vehicle driver,70,46.13884,70.0,895.188381215,melb - outer,greater melbourne,0.0,1,Monday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,2000,Yes,0,0,0,1,0,0,0,No,high,5,Separate House,Fully Owned,40->44,5000,high,C
Y24H5810115,Y24H5810115P03,Weekday,vehicle driver,59,41.04163,65.0,1208.834401975,melb - outer,greater melbourne,6.0,1,Monday,45->49,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,2000,Yes,0,0,0,1,1,0,0,No,high,5,Separate House,Fully Owned,40->44,5000,high,C
Y24H5810123,Y24H5810123P01,Weekday,vehicle driver,41,35.79,45.0,587.870485798,melb - outer,greater melbourne,4.0,1,Tuesday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,11,2000,No,0,0,0,0,0,0,0,No,high,4,Separate House,Being Purchased,25->29,3000,medium,C
Y24H5810123,Y24H5810123P02,Weekday,vehicle passenger,1,0.22073,1.0,1160.219028014,melb - outer,greater melbourne,0.0,1,Tuesday,40->44,Female,Full Licence,0,0,No,0,1,1,1,No Study,Keeping House,Part-time Work,Paid Employee,At Home,6,500,No,0,0,0,0,0,0,0,No,low,4,Separate House,Being Purchased,25->29,3000,medium,C
Y24H5810126,Y24H5810126P01,Weekday,vehicle driver,70,57.35232,70.0,610.667323238,melb - outer,greater melbourne,0.0,1,Friday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,2000,Yes,1,0,0,1,0,0,0,No,high,4,Separate House,Being Purchased,25->29,3500,medium,C
Y24H5810126,Y24H5810126P02,Weekday,vehicle driver,30,19.75993,30.0,1025.247991681,melb - outer,greater melbourne,0.0,1,Friday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1250,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Being Purchased,25->29,3500,medium,C
Y24H5810140,Y24H5810140P02,Weekday,vehicle driver,56,51.43755,56.0,1326.855427609,melb - outer,greater melbourne,0.0,1,Friday,35->39,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,3,1500,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Purchased,30->34,3000,medium,C
Y24H5810141,Y24H5810141P01,Weekend,vehicle driver,135,35.5729,135.0,528.679447075,melb - outer,greater melbourne,0.0,1,Saturday,45->49,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,1,Separate House,Being Purchased,45->49,1500,low,C
Y24H5810203,Y24H5810203P02,Weekday,vehicle driver,56,42.15831,151.0,348.29227366,melb - middle,greater melbourne,95.0,1,Wednesday,70->74,Female,Full Licence,0,0,No,0,0,1,1,No Study,Volunteer,Casual Work,Self-Employed,At Home,6,150,No,0,0,0,0,0,0,0,No,low,2,Separate House,Fully Owned,75->79,1750,medium,C
Y24H5810205,Y24H5810205P04,Weekday,vehicle driver,60,47.73142,60.0,1884.211876547,melb - middle,greater melbourne,0.0,1,Friday,25->29,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,150,No,0,0,0,0,0,0,0,No,low,5,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5810206,Y24H5810206P03,Weekend,tram,47,29.86198,52.0,1512.138934816,melb - middle,greater melbourne,5.0,1,Saturday,25->29,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,6,1000,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Purchased,25->29,5000,high,C
Y24H5810209,Y24H5810209P03,Weekday,vehicle driver,8,4.73104,8.0,563.175623829,melb - middle,greater melbourne,0.0,1,Tuesday,20->24,Female,Green Probationary Licence,0,0,No,0,0,1,1,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,At Home,8,300,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,30->34,3000,medium,C
Y24H5810215,Y24H5810215P01,Weekday,vehicle driver,5,1.94281,5.0,368.620153595,melb - middle,greater melbourne,0.0,1,Monday,50->54,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,4,Terrace or Townhouse,Being Purchased,30->34,500,low,C
Y24H5810215,Y24H5810215P02,Weekday,vehicle driver,51,43.77694,51.0,698.574162956,melb - middle,greater melbourne,0.0,1,Monday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,500,Yes,0,1,1,0,0,0,0,No,low,4,Terrace or Townhouse,Being Purchased,30->34,500,low,C
Y24H5810215,Y24H5810215P03,Weekday,vehicle driver,30,11.60616,30.0,1243.153625619,melb - middle,greater melbourne,0.0,1,Monday,20->24,Female,Green Probationary Licence,0,0,No,0,0,0,0,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Not in Work Force,At Home,2,1250,Not in Work Force,0,0,0,0,0,0,0,Not in Work Force,medium,4,Terrace or Townhouse,Being Purchased,30->34,500,low,C
Y24H5810218,Y24H5810218P01,Weekday,vehicle driver,12,4.95981,12.0,887.689990838,melb - middle,greater melbourne,0.0,1,Thursday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,3000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Rented,35->39,6000,high,C
Y24H5810218,Y24H5810218P02,Weekday,vehicle driver,20,7.95349,20.0,668.834916459,melb - middle,greater melbourne,0.0,1,Thursday,50->54,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,3000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Rented,35->39,6000,high,C
Y24H5810229,Y24H5810229P01,Weekday,vehicle driver,20,11.02679,20.0,953.444977327,melb - middle,greater melbourne,0.0,1,Monday,50->54,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,4,500,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,30->34,2500,medium,C
Y24H5810229,Y24H5810229P02,Weekday,vehicle driver,20,12.22276,20.0,1025.289264725,melb - middle,greater melbourne,0.0,1,Monday,45->49,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,6,1750,No,0,0,0,0,0,0,0,No,high,5,Separate House,Fully Owned,30->34,2500,medium,C
Y24H5810229,Y24H5810229P04,Weekday,vehicle driver,10,3.30701,10.0,1508.446112536,melb - middle,greater melbourne,0.0,1,Monday,20->24,Female,Red Probationary Licence,0,0,No,0,0,1,1,Part-time TAFE/Uni,No other activity,Part-time TAFE/Uni,Paid Employee,At Home,4,1,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,30->34,2500,medium,C
Y24H5810231,Y24H5810231P01,Weekday,vehicle driver,24,15.47633,24.0,1179.539175193,melb - middle,greater melbourne,0.0,1,Wednesday,55->59,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,Yes,1,1,0,0,0,0,0,No,medium,4,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5810231,Y24H5810231P02,Weekday,vehicle driver,37,25.29741,37.0,1601.479033539,melb - middle,greater melbourne,0.0,1,Wednesday,50->54,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5810231,Y24H5810231P04,Weekday,vehicle passenger,37,25.29741,37.0,3071.03433016,melb - middle,greater melbourne,0.0,1,Wednesday,15->19,Male,Red Probationary Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,0,No,0,0,0,0,0,0,0,No,low,4,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5810233,Y24H5810233P01,Weekday,vehicle driver,45,23.67875,45.0,444.269060182,melb - middle,greater melbourne,0.0,1,Friday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,3000,Yes,1,0,0,0,0,0,0,No,high,3,Separate House,Being Purchased,20->24,6000,high,C
Y24H5810236,Y24H5810236P01,Weekday,vehicle driver,15,10.72158,15.0,1735.838034614,melb - middle,greater melbourne,0.0,1,Monday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,2000,No,0,0,0,0,0,0,0,No,high,5,Separate House,Fully Owned,35->39,5000,high,C
Y24H5810236,Y24H5810236P02,Weekday,vehicle driver,8,4.644,8.0,1740.067655063,melb - middle,greater melbourne,0.0,1,Monday,55->59,Female,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Fully Owned,35->39,5000,high,C
Y24H5810236,Y24H5810236P03,Weekday,walking,11,0.84403,11.0,819.431759588,melb - middle,greater melbourne,0.0,1,Monday,20->24,Female,No Car Licence,0,0,Yes,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,0,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,35->39,5000,high,C
Y24H5810236,Y24H5810236P04,Weekday,vehicle driver,8,3.75046,8.0,819.431759588,melb - middle,greater melbourne,0.0,1,Monday,20->24,Female,Green Probationary Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Fully Owned,35->39,5000,high,C
Y24H5810418,Y24H5810418P01,Weekday,vehicle driver,29,8.66033,29.0,640.909237038,melb - inner,greater melbourne,0.0,1,Thursday,30->34,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,2000,Yes,1,0,0,0,0,0,0,No,high,1,"Unit, Flat or Apartment",Being Rented,30->34,2500,medium,C
Y24H5810423,Y24H5810423P01,Weekday,train,32,7.53033,32.0,392.238483597,melb - inner,greater melbourne,0.0,1,Tuesday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,7,3000,Yes,1,0,0,0,0,0,0,No,high,4,Separate House,Being Purchased,20->24,6000,high,C
Y24H5810435,Y24H5810435P02,Weekend,train,44,8.58695,51.0,485.939835081,melb - inner,greater melbourne,7.0,1,Sunday,20->24,Female,Full Licence,0,0,No,0,1,1,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,15,1500,No,0,0,0,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,25->29,1500,low,C
Y24H5810501,Y24H5810501P01,Weekday,vehicle driver,17,14.76936,17.0,544.432716201,melb - outer,greater melbourne,0.0,1,Monday,55->59,Male,Full Licence,0,1,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,800,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,45->49,1000,low,S
Y24H5810501,Y24H5810501P03,Weekday,train,58,29.76295,61.0,384.299143719,melb - outer,greater melbourne,3.0,1,Monday,20->24,Male,Green Probationary Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,11,1000,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,45->49,1000,low,S
Y24H5810508,Y24H5810508P02,Weekday,vehicle driver,65,22.50152,65.0,408.274788081,melb - outer,greater melbourne,0.0,1,Monday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,3000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Purchased,35->39,5000,high,S
Y24H5810509,Y24H5810509P01,Weekday,vehicle driver,32,34.66748,32.0,555.604995778,melb - outer,greater melbourne,0.0,1,Tuesday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,3000,No,0,0,0,0,0,0,0,No,high,1,Separate House,Being Purchased,50->54,3000,medium,S
Y24H5810522,Y24H5810522P01,Weekday,vehicle driver,45,31.26779,45.0,393.609923458,melb - outer,greater melbourne,0.0,1,Monday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,300,No,0,0,0,0,0,0,0,No,low,2,Separate House,Being Rented,35->39,300,low,S
Y24H5810524,Y24H5810524P02,Weekday,motorcycle,36,32.08013,36.0,347.819458429,melb - outer,greater melbourne,0.0,1,Wednesday,40->44,Male,Full Licence,1,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1750,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Rented,30->34,1750,medium,S
Y24H5810526,Y24H5810526P02,Weekday,vehicle driver,30,17.90876,30.0,349.644758089,melb - outer,greater melbourne,0.0,1,Friday,65->69,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Employer,At Home,5,3000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Fully Owned,60->64,6000,high,S
Y24H5810526,Y24H5810526P03,Weekday,vehicle driver,23,9.27159,23.0,516.910650814,melb - outer,greater melbourne,0.0,1,Friday,55->59,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,6,3000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Fully Owned,60->64,6000,high,S
Y24H5810529,Y24H5810529P02,Weekday,vehicle driver,21,19.08259,80.0,390.159178288,melb - outer,greater melbourne,59.0,1,Monday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,9,2000,No,0,0,0,0,0,0,0,No,high,4,Separate House,Being Purchased,20->24,3000,medium,S
Y24H5810530,Y24H5810530P01,Weekday,vehicle driver,20,13.41064,20.0,1464.507239992,melb - outer,greater melbourne,0.0,1,Tuesday,50->54,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,2,650,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Fully Owned,35->39,2500,medium,S
Y24H5810530,Y24H5810530P04,Weekday,vehicle driver,30,9.3745,30.0,2002.890914082,melb - outer,greater melbourne,0.0,1,Tuesday,15->19,Male,Green Probationary Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,800,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Fully Owned,35->39,2500,medium,S
Y24H5810540,Y24H5810540P01,Weekday,vehicle driver,30,13.73425,30.0,807.846681089,melb - outer,greater melbourne,0.0,1,Friday,45->49,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,2,2000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Purchased,25->29,2500,medium,S
Y24H5820101,Y24H5820101P04,Weekday,vehicle driver,13,9.88365,13.0,661.590946779,melb - outer,greater melbourne,0.0,1,Monday,20->24,Male,Red Probationary Licence,0,0,No,0,0,1,1,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,At Home,2,150,No,0,0,0,0,0,0,0,No,low,4,Separate House,Being Purchased,35->39,2000,medium,C
Y24H5820103,Y24H5820103P01,Weekday,vehicle driver,15,9.09552,15.0,380.018039343,melb - outer,greater melbourne,0.0,1,Wednesday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,2000,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Purchased,20->24,2500,medium,C
Y24H5820108,Y24H5820108P01,Weekday,vehicle driver,15,6.38274,15.0,340.502082086,melb - outer,greater melbourne,0.0,1,Monday,60->64,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Fully Owned,35->39,2000,medium,C
Y24H5820108,Y24H5820108P02,Weekday,vehicle driver,20,21.32513,20.0,553.513568227,melb - outer,greater melbourne,0.0,1,Monday,50->54,Female,Full Licence,0,0,No,0,1,0,1,No Study,Keeping House,Part-time Work,Paid Employee,At Home,2,650,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Fully Owned,35->39,2000,medium,C
Y24H5820109,Y24H5820109P01,Weekday,vehicle driver,24,23.55371,24.0,234.085857656,melb - outer,greater melbourne,0.0,1,Tuesday,65->69,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Being Purchased,40->44,1250,low,C
Y24H5820117,Y24H5820117P02,Weekday,vehicle driver,15,7.08829,15.0,618.565623915,melb - outer,greater melbourne,0.0,1,Wednesday,30->34,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1000,Missing/Refused,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Purchased,50->54,2000,medium,C
Y24H5820117,Y24H5820117P02,Weekday,vehicle driver,12,6.53364,12.0,618.565623915,melb - outer,greater melbourne,0.0,1,Wednesday,30->34,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1000,Missing/Refused,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Purchased,50->54,2000,medium,C
Y24H5820129,Y24H5820129P02,Weekday,vehicle driver,11,10.13886,11.0,661.67342153,melb - outer,greater melbourne,0.0,1,Monday,25->29,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,1500,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Rented,25->29,2500,medium,C
Y24H5820129,Y24H5820129P03,Weekday,vehicle driver,40,27.15438,45.0,424.319507646,melb - outer,greater melbourne,5.0,1,Monday,25->29,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,800,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Rented,25->29,2500,medium,C
Y24H5820136,Y24H5820136P02,Weekday,vehicle driver,53,39.0691,152.0,544.226735974,melb - outer,greater melbourne,99.0,1,Monday,35->39,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,1750,No,0,0,0,0,0,0,0,No,high,4,Separate House,Being Purchased,20->24,4000,high,C
Y24H5820138,Y24H5820138P02,Weekday,vehicle driver,5,2.73489,5.0,1217.436900556,melb - outer,greater melbourne,0.0,1,Wednesday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,30->34,1500,low,C
Y24H5820304,Y24H5820304P01,Weekday,train,39,15.28904,49.0,1706.855494781,melb - inner,greater melbourne,10.0,1,Thursday,35->39,Male,Full Licence,0,0,No,1,0,0,1,Part-time TAFE/Uni,Keeping House,Full-time Work,Paid Employee,At Home,6,1500,Yes,1,0,1,0,1,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,25->29,2000,medium,C
Y24H5820308,Y24H5820308P01,Weekday,vehicle driver,17,4.09506,17.0,1120.39259365,melb - inner,greater melbourne,0.0,1,Monday,55->59,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,4,2000,No,0,0,0,0,0,0,0,No,high,6,"Unit, Flat or Apartment",Being Rented,20->24,2500,medium,C
Y24H5820316,Y24H5820316P01,Weekday,vehicle driver,60,81.032,60.0,2510.125124439,melb - inner,greater melbourne,0.0,1,Tuesday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,1500,Yes,1,0,1,1,1,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,30->34,3000,medium,C
Y24H5820316,Y24H5820316P02,Weekday,train,33,6.14809,35.0,3970.428785145,melb - inner,greater melbourne,2.0,1,Tuesday,30->34,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,1500,Yes,1,0,1,0,1,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,30->34,3000,medium,C
Y24H5820324,Y24H5820324P02,Weekday,train,37,9.71096,37.0,904.797219747,melb - inner,greater melbourne,0.0,1,Wednesday,35->39,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,7,1750,Yes,1,1,0,0,1,0,0,No,high,3,Terrace or Townhouse,Fully Owned,25->29,5000,high,C
